regime,start_time,end_time,n_samples,duration_min,PSI200_mean,PSI200_std,Ore_mean,WaterMill_mean,WaterZumpf_mean,MotorAmp_mean,DensityHC_mean,PressureHC_mean,psi200_delta_vs_prev
0,2025-06-21 04:00:00,2025-06-21 17:35:00,150,815.0,21.505656107551864,1.0534354964149686,177.04213017123723,15.829797347359811,159.80367210539552,203.54838060428276,1693.541400091259,0.4631691966567956,
1,2025-06-21 17:40:00,2025-06-22 05:25:00,120,705.0,22.101714882308745,1.1368927498987589,181.21098624501525,15.80827432600815,160.68449557791476,205.16674746214903,1679.7487759601295,0.4668723332100539,0.5960587747568802
2,2025-06-22 05:30:00,2025-06-23 00:35:00,120,1145.0,22.45515775024783,0.903349437432053,179.5076873323692,15.116992312713853,157.21544228459723,203.6074850862029,1688.5301023803984,0.4593287573354009,0.3534428679390871
3,2025-06-23 00:40:00,2025-06-24 09:50:00,230,1990.0,19.360961367819115,0.9734026580802864,172.7254036580189,12.784043543086213,155.50785901160725,205.55437899619415,1656.7902832832835,0.47782924910144153,-3.0941963824287164
4,2025-06-24 10:35:00,2025-06-25 14:50:00,190,1695.0,23.244445133921833,1.1750492325932362,184.4189387682695,16.000186013970943,191.54147479082076,204.0687269149506,1694.489332672868,0.4906913193762553,3.8834837661027173
5,2025-06-25 14:55:00,2025-06-27 23:25:00,170,3390.0,22.666369283266913,0.7324526364452647,181.63348303164847,16.773478862328282,173.12167796449054,202.29712019557098,1712.3344839709691,0.48190001941848515,-0.5780758506549191
6,2025-06-27 23:30:00,2025-06-29 12:40:00,210,2230.0,21.227139457765812,0.8900483531759117,179.73646465914797,16.63808923932772,151.01591582711563,205.7766559860382,1678.1824112764953,0.4562948804614619,-1.4392298255011013
7,2025-06-29 12:50:00,2025-07-01 19:25:00,180,3275.0,22.6697720229123,0.7531031772488721,177.57975686549372,16.916240892053032,153.79954292626869,200.6380145116963,1717.7376509776766,0.45612998790441395,1.4426325651464893
8,2025-07-01 19:30:00,2025-07-02 05:25:00,120,595.0,22.95302079246763,0.006794784879841631,182.71082169478225,16.68352918137832,167.1374714463188,202.3735470836128,1707.6624584337462,0.46552704608716766,0.2832487695553283
9,2025-07-02 05:30:00,2025-07-02 15:25:00,120,595.0,22.97655943507258,0.006794784879841746,184.01462710867006,16.481721936707206,190.56439180724468,202.1953215935408,1697.8427158642978,0.47269512320424434,0.023538642604950866
10,2025-07-02 15:30:00,2025-07-03 01:25:00,120,595.0,22.69580830964825,0.47265169986838257,185.0000666910538,16.31720953547569,210.1608094401666,202.80238559315342,1689.8875248213565,0.46952635431922013,-0.2807511254243309
11,2025-07-03 01:30:00,2025-07-03 11:25:00,120,595.0,23.258968382250185,0.3828743589550504,185.09710284366926,16.12939636752804,212.23661347738678,201.99256288854622,1700.3566956837283,0.44258408771124913,0.563160072601935
12,2025-07-03 11:30:00,2025-07-04 04:05:00,200,995.0,24.689099216175364,0.598363406850642,184.48507306150307,15.859241241266531,211.92572144643003,197.97688946249124,1727.682018893846,0.46695077833080956,1.4301308339251797
13,2025-07-04 04:10:00,2025-07-04 14:20:00,120,610.0,23.50179983418467,0.7027863219148688,185.00467946106156,15.777288587212066,212.21118808212756,201.24614822284482,1705.7420292595364,0.45806507221924603,-1.1872993819906945
14,2025-07-04 14:25:00,2025-07-05 02:50:00,150,745.0,21.95728258793339,0.9165159579889307,181.82908451315922,15.421952302326451,211.31642125414868,203.21774093655446,1686.3857708240864,0.5018076332521573,-1.5445172462512815
15,2025-07-05 02:55:00,2025-07-05 14:35:00,130,700.0,21.535069152763047,1.006297549539031,179.93216216947172,15.0103275082677,211.4166623808325,203.13080216164397,1692.0338256080581,0.4731008911876007,-0.4222134351703417
16,2025-07-05 14:40:00,2025-07-06 02:15:00,140,695.0,20.589877530240614,0.5676821905180651,177.12344594296323,14.73822879006056,216.30710504069893,203.35057499492805,1687.726181610565,0.5098369065181245,-0.945191622522433
17,2025-07-06 02:20:00,2025-07-06 13:55:00,140,695.0,21.618643755915294,0.45546188437323354,176.71113772741248,14.427400109440757,215.01656590774064,202.65692786281798,1702.8347627955377,0.4765309826136449,1.02876622567468
18,2025-07-06 14:00:00,2025-07-07 08:15:00,220,1095.0,21.26513410292478,0.5728561304910538,175.26063316595412,14.262167302572069,214.9494464790043,203.067524184482,1692.2088382907045,0.4966090605595994,-0.35350965299051396
19,2025-07-07 08:20:00,2025-07-07 21:05:00,120,765.0,20.199637659414517,1.0630502395991088,171.19235551759556,13.551121803731125,210.86418004869526,203.469917870282,1694.2563628438863,0.4990836001377448,-1.0654964435102627
20,2025-07-07 21:10:00,2025-07-08 09:45:00,140,755.0,19.53116552830635,0.7357215298595541,174.45035986116824,13.557271842233613,214.10340116573727,204.72411981498394,1675.2277766015122,0.4815907777762752,-0.6684721311081674
21,2025-07-08 09:50:00,2025-07-08 19:45:00,120,595.0,20.30447105657996,0.7042893041713699,176.75367100574852,13.449983194929946,222.15695111967034,201.957171031934,1696.887404016284,0.5227857586804789,0.7733055282736103
22,2025-07-08 19:50:00,2025-07-12 07:30:00,160,5020.0,21.5119991569031,0.9965885495071705,174.28122516058372,13.010397777838744,222.0057321372261,199.46982457311785,1715.4003017221366,0.48581567353350347,1.2075281003231417
23,2025-07-12 07:35:00,2025-07-13 01:00:00,180,1045.0,24.49905682859681,1.854165543326073,170.61194319031918,16.52583932016815,163.6509395243961,205.41979878418294,1769.711420417734,0.40114476722478,2.9870576716937087
