penalty,n_regimes,avg_seg_len,r2_target
30.0,84,131.77380952380952,0.8678419388888706
50.0,84,131.77380952380952,0.8678419388888706
80.0,84,131.77380952380952,0.8678419388888706
120.0,84,131.77380952380952,0.8678419388888706
200.0,75,147.58666666666667,0.8678414946522357
300.0,71,155.90140845070422,0.8678411719795351
500.0,65,170.2923076923077,0.867821314341429
800.0,61,181.45901639344262,0.8678146780296698
