TimeStamp,Ore,WaterMill,WaterZumpf,Power,ZumpfLevel,PressureHC,DensityHC,FE,PulpHC,PumpRPM,MotorAmp,PSI200,Class_15,Class_12,Grano,Daiki,Shisti
2025-06-21 16:50:00,176.74662076479078,14.73017558318472,195.57467719298245,1896.284939126716,1502.2981742164693,0.3103522349640265,1744.731319820639,3.6153333333333335,453.6220420228093,707.5391148148149,201.29462661702985,23.426511627906976,1.3,7.4,0.617,0.325,0.058
2025-06-21 16:55:00,177.03315877492875,14.7337734090484,195.68092163742688,1893.5282620342196,1505.802207987071,0.3101831010221413,1748.3998421452636,3.621333333333333,456.10702468284114,708.708743611111,201.2376286419729,23.89932208542332,1.3,7.4,0.617,0.325,0.058
2025-06-21 17:00:00,177.17762171717172,14.753600764671498,195.56397777777775,1898.4482274942252,1506.5123170779798,0.3097424332309222,1751.6545402526538,3.627666666666667,456.7059168726549,709.9647880555555,201.4606645455251,24.366143790849677,1.3,7.4,0.617,0.325,0.058
2025-06-21 17:05:00,177.2258979076479,14.728294519211286,195.35431111111112,1904.2897038624567,1503.0348218231625,0.3099631555542051,1754.6181407257327,3.632733333333333,456.94666052539856,710.9989649786326,201.51363269209384,24.799477124183007,1.3,7.4,0.617,0.325,0.058
2025-06-21 17:10:00,176.99233415473418,14.713249113315593,195.4752,1907.4746823840533,1502.155905270715,0.3101819279807296,1756.571910366586,3.650533333333333,456.4281747941948,711.7051277167278,201.26024329236265,25.0,1.3,7.4,0.617,0.325,0.058
2025-06-21 17:15:00,176.8877200999001,14.755404600098316,195.45615,1904.8609133653224,1498.4905534208667,0.3111692336156956,1758.2466848429406,3.6548666666666665,456.07606653669774,712.1068906796907,200.43363931078736,25.25066666666667,1.3,7.4,0.617,0.325,0.058
2025-06-21 17:20:00,176.9888636063936,14.820535397301112,195.11415,1902.8418706864352,1498.8437692506052,0.3119926014532509,1758.8869256434557,3.6416666666666666,456.7872716508524,712.2348137566137,200.1195736136496,25.108822695035464,1.3,7.4,0.617,0.325,0.058
2025-06-21 17:25:00,177.1047277296777,14.794520369430431,194.77215000000004,1899.5669424239047,1494.7239088427852,0.3129305982321337,1758.3867686933982,3.6038,457.6486786907495,711.8912518518518,200.0068518433004,24.842156028368795,1.3,7.4,0.617,0.325,0.058
2025-06-21 17:30:00,177.18249203897952,14.862745555684436,194.49000000000004,1898.5747206850056,1496.2703570547137,0.3136687982390914,1756.394739087397,3.5718,456.8992273825377,710.9077999999998,200.1544845981347,24.454421768707483,1.3,7.4,0.617,0.325,0.058
2025-06-21 17:35:00,177.137088503626,14.919393713017298,194.49000000000004,1899.1895200618028,1495.608775854717,0.3144164188712807,1753.9613663927817,3.569666666666667,454.7237390165965,710.1413448717948,199.84014286615536,24.626391465677177,1.3,7.4,0.617,0.325,0.058
2025-06-21 17:40:00,177.14209813679983,14.939882221535608,194.49000000000004,1901.2798167708395,1495.7291832173255,0.3143393185416585,1751.7414734919018,3.579733333333334,450.92154163879616,709.18684005698,199.73486654512013,24.793058132343845,1.3,7.4,0.617,0.325,0.058
2025-06-21 17:45:00,176.93849684892106,14.836844104080376,194.49000000000004,1909.6228754955555,1497.055927463232,0.3143517585977763,1750.4225686784482,3.575133333333333,448.017967858243,708.5214298005699,200.4778314669403,24.83863636363636,1.3,7.4,0.617,0.325,0.058
2025-06-21 17:50:00,176.91912292324236,14.713397325368897,194.49000000000004,1914.945950824597,1496.6844428434492,0.3145612494985336,1748.7117517193842,3.5681333333333334,444.3351407759075,707.8552439031339,200.94378506860227,24.553636363636365,1.3,7.4,0.617,0.325,0.058
2025-06-21 17:55:00,176.83716171112113,14.728774493791075,194.49000000000004,1922.6718562392484,1498.310596220318,0.3151463863753941,1746.2840028502412,3.577733333333333,441.7208520463811,707.0981868131868,202.01638706962865,24.552683982683984,1.3,7.4,0.617,0.325,0.058
2025-06-21 18:00:00,176.87319190037633,14.76885959879604,194.49000000000004,1917.7473303059328,1496.1792169508778,0.314940020431067,1743.9211122913343,3.5988,439.29256049374646,706.5622446886447,201.54885811668095,24.58344155844156,1.3,7.4,0.617,0.325,0.058
2025-06-21 18:05:00,176.91412155677654,14.836292887205742,194.49,1914.693957202143,1496.3620758516165,0.3140112620847847,1742.590051663315,3.6112,438.87923286425934,705.7812190476191,201.19988619433545,24.46313852813853,1.3,7.4,0.617,0.325,0.058
2025-06-21 18:10:00,176.96001006687757,14.86536274714972,194.50672156862748,1910.556948233003,1498.156638344384,0.3134419589631735,1742.5494972126703,3.5996666666666663,439.5211817802317,705.8055523809525,200.8588786455556,24.19742424242424,1.3,7.4,0.617,0.325,0.058
2025-06-21 18:15:00,177.1188951157176,14.870452524062935,194.5672670231729,1913.2993824306109,1500.4494249263048,0.3125712308284717,1742.7139760613072,3.5983333333333336,440.5755245860853,706.02364,201.11539186059517,23.9,1.3,7.4,0.617,0.325,0.058
2025-06-21 18:20:00,177.02474166992366,14.930763539646792,194.5172670231729,1913.4299778432205,1504.538974725553,0.3122500785746144,1742.6201009831182,3.597333333333333,442.67077333866746,706.6179733333335,201.00250071513543,23.899999999999995,1.3,7.4,0.617,0.325,0.058
2025-06-21 18:25:00,176.81472186352633,15.14446616946182,194.4772670231729,1915.9905461614103,1503.5405217192774,0.3120023684435208,1742.12046799891,3.6128,442.82857109209215,707.134,201.32956882443108,24.086666666666662,1.3,7.4,0.617,0.325,0.058
2025-06-21 18:30:00,176.82890538000987,15.11222761616582,194.65454139194145,1917.9816242107636,1503.025534435776,0.3112373825747772,1743.2452773292769,3.6094,445.3519969147477,707.134,201.49617624508707,24.55333333333333,1.3,7.4,0.617,0.325,0.058
2025-06-21 18:35:00,176.88067145983646,15.072275180791667,194.6447413919414,1922.634133064876,1503.9059068204022,0.3109971079505144,1745.3344809025618,3.599,448.2435034600772,707.4457333333334,202.0607509496973,25.01275362318841,1.3,7.4,0.617,0.325,0.058
2025-06-21 18:40:00,177.03619135401635,14.911204564451898,194.80690170940173,1924.230237088584,1504.836527494704,0.3101425945373298,1748.7578273643046,3.5836,451.4478484460766,707.9995333333333,201.8963949345652,25.126086956521743,1.3,7.4,0.617,0.325,0.058
2025-06-21 18:45:00,176.98027142857143,14.922578026224643,194.8577222222222,1921.103574643235,1506.2510959565334,0.3100577095975406,1751.7787681357963,3.5743333333333336,451.64594338843233,709.12104,201.6075175295622,25.20057413600892,1.3,7.4,0.617,0.325,0.058
2025-06-21 18:50:00,177.04854743182744,14.818647718999957,194.9203603174603,1917.2485575222067,1503.0812297383964,0.3095432914260222,1754.2341199656898,3.583533333333333,450.4280883244544,709.9014590476191,201.35489746235817,25.149615384615387,1.3,7.4,0.617,0.325,0.058
2025-06-21 18:55:00,177.1987438122988,14.824154591498525,194.60997142857144,1914.4801050030212,1502.322705520282,0.3100974364937929,1755.9224117599904,3.5998666666666668,447.8653392567796,710.1163257142858,201.1632054134203,25.149615384615384,1.3,7.4,0.617,0.325,0.058
2025-06-21 19:00:00,177.17192899748397,14.841632106436746,194.19297142857147,1911.1070433068403,1498.0602139664754,0.3113156671005176,1755.0010415094978,3.609533333333333,447.0670298690426,709.6429705627706,200.9754435491489,24.86832548403977,1.3,7.4,0.617,0.325,0.058
2025-06-21 19:05:00,176.90272339105337,14.91563709950733,194.05000000000004,1910.242414228384,1497.4522057119898,0.3127192822031174,1752.8128733125643,3.617066666666666,443.3377849286073,708.963415959596,200.8795160349933,24.593197278911568,1.3,7.4,0.617,0.325,0.058
