trial_number,value,datetime_start,datetime_complete,param_Ore,param_WaterMill,param_WaterZumpf,param_PressureHC,param_DensityHC,param_MotorAmp,param_Shisti,param_Daiki
0,50.620365142822266,2025-07-14 10:15:49.763047,2025-07-14 10:15:49.766459,176.43392231791657,14.72493241260821,193.83091333162554,0.42052291080303683,1862.4074165199404,212.4848615099869,0.19850020681400268,0.17688673297316015
1,51.5899543762207,2025-07-14 10:15:49.766970,2025-07-14 10:15:49.772706,169.24506152666018,18.957055887425366,195.28786844426676,0.24164826588989127,1830.3472067409682,209.0401709952906,0.09561243358259283,0.02562795317130435
2,53.019859313964844,2025-07-14 10:15:49.773723,2025-07-14 10:15:49.777528,180.1886358918239,17.53098797097562,180.658299276452,0.23117945376865398,1551.9263534373756,202.41836136280344,0.11634786042564885,0.16835858781162544
3,53.00699996948242,2025-07-14 10:15:49.778533,2025-07-14 10:15:49.781106,181.0852961197354,15.662265705287691,197.95928174103705,0.20233336171896688,1597.7287241856257,189.3873557726326,0.249432564933496,0.321794980181989
4,50.56448745727539,2025-07-14 10:15:49.781106,2025-07-14 10:15:49.784168,171.9160825049551,8.769161283004966,197.81232867089955,0.4909611395511924,1863.0403617824195,198.49822614345732,0.16857276169306207,0.12877036902846797
5,49.755348205566406,2025-07-14 10:15:49.784168,2025-07-14 10:15:49.786718,195.29697579388971,5.536147371864365,197.0976857753635,0.48396461715012895,1763.3685588987287,211.16293604930047,0.025419109497669155,0.36351002529973586
6,50.183345794677734,2025-07-14 10:15:49.786718,2025-07-14 10:15:49.789271,185.86138279532167,6.615400061146767,194.13339214125762,0.2963458219413521,1824.9410307356068,190.12001063500986,0.436928008274425,0.4602425905306557
7,52.74247741699219,2025-07-14 10:15:49.789271,2025-07-14 10:15:49.790846,169.79289605766155,18.8397656620354,181.91005992532848,0.41802641119409956,1547.5122614083532,184.4593566827385,0.20923295211927007,0.22298319242655468
8,51.51883316040039,2025-07-14 10:15:49.791857,2025-07-14 10:15:49.794366,169.0416187311634,8.098400734129914,189.41852918325847,0.3524488860998324,1694.5911946334666,179.16795570717466,0.4954283405584899,0.440491323384728
9,51.84601974487305,2025-07-14 10:15:49.794868,2025-07-14 10:15:49.796884,172.53170509846692,6.4203319665807115,174.8186635830446,0.30641127366215537,1704.5261194557545,209.88508771722803,0.13920433298834836,0.1661665879794896
10,51.57396697998047,2025-07-14 10:15:49.796884,2025-07-14 10:15:49.827517,161.53930467111556,11.172530767727302,171.81615725404072,0.2576962223466325,1508.945190319589,170.13832548637046,0.35455596749657436,0.06182777778390165
11,53.11812973022461,2025-07-14 10:15:49.827517,2025-07-14 10:15:49.861242,184.62593375023283,15.497169687559182,181.3383292268548,0.20030773950481445,1606.5894225799352,198.91802188485053,0.3013367596820478,0.3170658315570301
12,53.143001556396484,2025-07-14 10:15:49.862252,2025-07-14 10:15:49.896645,189.31788084652666,16.210861528669454,179.95796442147747,0.20128762264736674,1615.1267460868005,199.4032610239845,0.32573073872902575,0.2888272786221209
13,52.95056915283203,2025-07-14 10:15:49.896645,2025-07-14 10:15:49.928533,192.017262974421,12.956192067942151,177.57989626274784,0.20430404394479526,1620.5643081609567,203.0213848698159,0.3274346968981743,0.2983711515349957
14,53.08685302734375,2025-07-14 10:15:49.929536,2025-07-14 10:15:49.962891,187.26659564194523,15.713449557011446,186.0709816480304,0.27572384466460914,1659.6791157698074,195.78135566166574,0.3354350220046054,0.39680826313999445
15,52.9735107421875,2025-07-14 10:15:49.963393,2025-07-14 10:15:49.995360,199.0014909228582,13.041110122320262,183.8139851158371,0.32735830539484034,1612.8139356101656,218.14995393093483,0.26579380860971913,0.25166942276307913
16,49.812137603759766,2025-07-14 10:15:49.996364,2025-07-14 10:15:50.031545,188.17227861100042,16.92107303544654,178.37857903890512,0.3829876583076731,1743.9471118514011,202.38556854637918,0.3717607606646602,0.31854585174597305
17,52.75304412841797,2025-07-14 10:15:50.031545,2025-07-14 10:15:50.065456,183.8498478504732,10.954293433717496,187.48481475444956,0.23369844108372062,1656.0813746587437,191.8516815939036,0.2769828695378859,0.370092275964958
18,52.16286849975586,2025-07-14 10:15:50.065977,2025-07-14 10:15:50.100150,191.90168450820997,13.725639695249802,170.01579779785567,0.26708268563717413,1570.5467912774322,181.38842241856915,0.41591377377685945,0.2714155515807699
19,52.974334716796875,2025-07-14 10:15:50.100659,2025-07-14 10:15:50.131933,191.78897101119094,17.364014851616478,175.50907342681268,0.20151338987007394,1504.085626501626,198.26969330942603,0.30413302480136795,0.39739133259990717
20,53.086448669433594,2025-07-14 10:15:50.133439,2025-07-14 10:15:50.166011,199.39910527182144,11.153737528284875,190.40809349143885,0.359029453468821,1650.7411890436858,205.59601605002925,0.3889067090477987,0.48831822667486735
21,53.12979507446289,2025-07-14 10:15:50.166540,2025-07-14 10:15:50.201545,187.38237383110817,15.612959928724807,186.21290772723376,0.2834310710538093,1654.208355085206,195.99233338681972,0.32545271209592597,0.3926976373210057
22,51.06121063232422,2025-07-14 10:15:50.201545,2025-07-14 10:15:50.234411,183.48324523481992,15.161336687299599,183.43923931108736,0.2290442840756935,1699.9735524497685,192.74775240263574,0.23429839416472478,0.3455293142475202
23,53.186378479003906,2025-07-14 10:15:50.234917,2025-07-14 10:15:50.269296,189.9045038533513,16.550040877765333,180.4805252999926,0.29351098328587566,1600.710753337441,198.44252784676382,0.2998974099532321,0.23422263005985086
24,52.409645080566406,2025-07-14 10:15:50.269835,2025-07-14 10:15:50.302312,189.08482467445623,19.982928968922312,178.761483594203,0.29667095778783037,1642.4710009117105,186.4570284650628,0.41945308581797014,0.22303814687335197
25,53.09138870239258,2025-07-14 10:15:50.302312,2025-07-14 10:15:50.336697,195.53460946079525,16.97854242236183,187.45245505398708,0.32463775050839383,1577.7213568287286,195.1103034150507,0.47471674664603464,0.26171531053500485
26,51.111881256103516,2025-07-14 10:15:50.337702,2025-07-14 10:15:50.373495,177.26138484706976,14.009073970138331,190.65758353068153,0.2751600367139159,1747.443688842404,205.704606802209,0.30156958134696416,0.4164595314883265
27,52.28274917602539,2025-07-14 10:15:50.374004,2025-07-14 10:15:50.406107,195.07444975088262,18.394238228070357,184.7949881183227,0.3279125477377165,1678.9682656947411,217.85099999160525,0.3836946385346568,0.21647183841603287
28,53.15945816040039,2025-07-14 10:15:50.407108,2025-07-14 10:15:50.441013,189.92444565427908,16.40029026869008,176.30485840145295,0.3708899479209582,1538.7930951951098,199.5697809382185,0.34536357861025685,0.28713054554214107
29,53.339927673339844,2025-07-14 10:15:50.441013,2025-07-14 10:15:50.475829,190.54788706901482,16.61130417623945,174.6450591335141,0.39299303924972495,1536.9044613858373,215.31707413335477,0.21279593806232786,0.10783036734142373
30,53.408206939697266,2025-07-14 10:15:50.475829,2025-07-14 10:15:50.512075,176.8390941284452,14.403628985907204,173.92324916164992,0.3996862496992624,1532.7948198830468,214.39470488630153,0.19956723908218765,0.11659099436176801
31,53.25712585449219,2025-07-14 10:15:50.512579,2025-07-14 10:15:50.546584,178.6379922137314,14.334414059919819,174.61445253284532,0.4078362891059634,1535.572259467246,212.99789230213295,0.19360744758110313,0.10293278305538163
32,53.377079010009766,2025-07-14 10:15:50.548090,2025-07-14 10:15:50.584853,176.73829334180215,14.604885681258502,173.17350344967934,0.4085225450772074,1529.8229092742345,215.22294190288488,0.19615310480939202,0.10148175713207981
33,53.30651092529297,2025-07-14 10:15:50.584853,2025-07-14 10:15:50.619370,176.42718609232134,14.318855723179261,173.37221873417053,0.4078141561463652,1524.390161118927,219.30747095324753,0.1910232406326827,0.09226518199594076
34,52.343265533447266,2025-07-14 10:15:50.619872,2025-07-14 10:15:50.654283,175.277481868548,12.180256182108902,172.8517795609465,0.46100554044943026,1522.8467134900973,215.21968090825573,0.1639260991535995,0.03763353015318935
35,53.185585021972656,2025-07-14 10:15:50.654804,2025-07-14 10:15:50.689594,174.86535347610553,14.615632094974012,172.8719513840648,0.39992018264264967,1574.4560449942396,219.76363045909068,0.07036023205971356,0.09406076960694344
36,52.17311477661133,2025-07-14 10:15:50.689594,2025-07-14 10:15:50.723706,181.00756783521052,11.914587644970691,171.05827373040054,0.4421491023305697,1500.45273998039,214.9205444898408,0.2201206596977095,0.1466915196100902
37,52.374000549316406,2025-07-14 10:15:50.723706,2025-07-14 10:15:50.758955,166.5722694567682,13.366136562424904,173.35935145238906,0.43841310774460546,1559.7427304737319,208.4685365626603,0.17880732892524098,0.08358970370236124
38,53.28388595581055,2025-07-14 10:15:50.758955,2025-07-14 10:15:50.792983,177.8773264205515,17.754187054814647,176.98461268175325,0.39117557129586755,1526.234163893216,213.64305098826168,0.12001517611933074,0.13057154577282504
39,50.49441146850586,2025-07-14 10:15:50.792983,2025-07-14 10:15:50.825856,173.16298262453813,9.81294252929341,173.85005056325298,0.42718980878938406,1829.612749786305,216.58874456200408,0.08474055775289686,0.021897500293480615
40,53.06865692138672,2025-07-14 10:15:50.825856,2025-07-14 10:15:50.861057,180.20233075856353,14.70178076356527,170.0028648376035,0.38168383715120735,1553.9127993980057,211.7259337774487,0.14684540123374157,0.17960412428869976
41,53.333431243896484,2025-07-14 10:15:50.862565,2025-07-14 10:15:50.897245,177.6350693500576,18.086008137753556,176.70037875309472,0.3977744636543384,1521.981497822888,213.42368037948728,0.11605794821219804,0.12376002268125229
42,49.761512756347656,2025-07-14 10:15:50.897245,2025-07-14 10:15:50.933804,182.54036298133155,18.032486671674018,171.98898545522832,0.4170882681406003,1885.9756261250877,209.1751369531581,0.05414471183601619,0.06447611461647956
43,52.1649284362793,2025-07-14 10:15:50.934311,2025-07-14 10:15:50.976139,175.35004751938453,14.989501790841834,175.56493616154086,0.46457765885420693,1515.2907658941504,216.16196724512315,0.24042262964306682,0.18947483593639927
44,53.36272048950195,2025-07-14 10:15:50.977142,2025-07-14 10:15:51.016592,179.15499005917013,19.351549163082282,174.23139174046642,0.3627630813235762,1588.1089661400358,219.35399734960336,0.19969873529320026,0.11127757401933264
45,54.19282913208008,2025-07-14 10:15:51.016592,2025-07-14 10:15:51.052294,170.58855228479632,19.736303376749948,176.71019671244227,0.3699676333070248,1584.2146485967764,207.03276317829756,0.2136649643270336,0.11647553134100434
46,52.77134704589844,2025-07-14 10:15:51.052294,2025-07-14 10:15:51.087654,165.48583991712073,19.94236124441925,178.973104747621,0.37019905109967965,1585.6432804637077,206.60831648352615,0.22157995640186864,0.14710381298549013
47,53.566436767578125,2025-07-14 10:15:51.087654,2025-07-14 10:15:51.124126,169.20327317421993,19.45030026646775,199.8542952563157,0.34579932262288954,1549.669249176238,210.61158505900303,0.1546559788590904,0.05374349711996713
48,54.32579040527344,2025-07-14 10:15:51.125128,2025-07-14 10:15:51.159544,170.03602289921588,18.95956725820923,195.0500490631273,0.34186456361675666,1630.6576170084577,211.5715899351552,0.15504075605987172,0.056448682847473536
49,54.32392501831055,2025-07-14 10:15:51.159544,2025-07-14 10:15:51.196185,170.3818033582317,18.94031172098266,199.61549369984766,0.3456352838824652,1635.7837682757836,211.01146904744346,0.15759485045329483,0.048170395987690295
