trial_number,value,datetime_start,datetime_complete,param_Ore,param_WaterMill,param_WaterZumpf,param_PressureHC,param_DensityHC,param_MotorAmp,param_Shisti,param_Daiki
0,51.90335464477539,2025-07-14 10:05:53.707779,2025-07-14 10:05:53.717826,151.3930959592422,14.553266159231017,234.2533679573824,80.98860662018691,1.627251070145077,30.95248834305584,0.18202488029026176,0.4542870754994618
1,51.902435302734375,2025-07-14 10:05:53.719277,2025-07-14 10:05:53.725016,177.25058016073908,17.460304043273233,189.86508103885976,74.77808017751198,1.5300735627145998,31.87667859389376,0.19111489328916725,0.27885294075231754
2,51.63447570800781,2025-07-14 10:05:53.727110,2025-07-14 10:05:53.728630,174.71846653558535,13.664272928477477,188.01894469738536,81.52670358876354,1.545181329899375,34.843184844092804,0.12277797969612513,0.40772848986525667
3,51.11228942871094,2025-07-14 10:05:53.728630,2025-07-14 10:05:53.731637,190.0894659239296,13.78131479434853,180.72314979460387,77.18967531298922,1.7228199646157873,39.928205509571626,0.1278983717710629,0.4945775450715632
4,52.33713150024414,2025-07-14 10:05:53.732140,2025-07-14 10:05:53.734160,165.15284228164893,19.605691341267427,208.47203863808102,70.75287916870168,1.5881792770769145,44.77983937703731,0.050976279631537544,0.43381808736159566
5,51.93301773071289,2025-07-14 10:05:53.734160,2025-07-14 10:05:53.737163,189.64174720571265,13.190812678195428,235.60085037457938,78.47717443608109,1.8726164236435212,44.18683771022044,0.17694544523442085,0.30620551211039554
6,52.067420959472656,2025-07-14 10:05:53.738163,2025-07-14 10:05:53.740750,165.1666044116427,19.138511339731586,214.84875500267415,77.1279153358832,1.6984790973245367,33.239066027981224,0.0510692356807856,0.2775166599507547
7,51.52528381347656,2025-07-14 10:05:53.740750,2025-07-14 10:05:53.743262,194.99891158419166,16.797457518401785,190.23619222048953,86.90404528731837,1.6943610002137628,44.802372242644275,0.1315370542903552,0.4748938909969585
8,52.084632873535156,2025-07-14 10:05:53.744266,2025-07-14 10:05:53.746773,171.9511112901036,10.434666186541572,201.33804074197678,70.00789039695775,1.7492075999679715,30.705144390473304,0.15521587836252226,0.46673146336073995
9,51.61366271972656,2025-07-14 10:05:53.746773,2025-07-14 10:05:53.748857,181.3848457052705,11.369633430271147,210.78532009070963,79.72311975334213,1.8363061068132653,48.405376201591935,0.19342468300402083,0.2789019170866434
10,51.77776336669922,2025-07-14 10:05:53.748857,2025-07-14 10:05:53.779961,158.6363812339839,19.92173040263687,226.08758418141758,70.15647430137847,1.5942083839128174,39.96258065193338,0.05792536884311149,0.2133235760420709
11,52.052555084228516,2025-07-14 10:05:53.779961,2025-07-14 10:05:53.812254,167.7240834433922,10.258228372096601,202.77545057574426,70.10045404022459,1.7837484040499316,36.27676312199204,0.08512747355073165,0.4042501349747173
12,52.45096206665039,2025-07-14 10:05:53.812254,2025-07-14 10:05:53.844267,167.846449195101,16.20244668131517,204.50063722200278,72.94544505831296,1.6341879449973642,44.39035176603343,0.15846362994745744,0.40534967658379345
13,52.268516540527344,2025-07-14 10:05:53.845267,2025-07-14 10:05:53.877329,160.14732222214025,16.709546902411418,203.8464628834571,74.01430923661935,1.633304963673573,44.71067644325002,0.09652652764650244,0.3709312049206633
14,52.00157165527344,2025-07-14 10:05:53.877329,2025-07-14 10:05:53.909542,150.79826125454417,18.08451290212253,222.68652925545985,73.4930500027134,1.5779701068423277,49.90871367256487,0.15782079939623841,0.4286864771074833
15,51.96070098876953,2025-07-14 10:05:53.910056,2025-07-14 10:05:53.942488,161.5068436671473,15.670165249621078,246.58101590127882,84.45227662981596,1.6471106291482254,42.51964884477497,0.08372625090653085,0.35727714872662714
16,52.94303894042969,2025-07-14 10:05:53.943548,2025-07-14 10:05:53.972901,169.53481514035929,18.52941673373424,209.02501765866128,72.78531700565271,1.5018707805001843,46.79377193672375,0.1514334232511286,0.38832043951721085
17,52.24525451660156,2025-07-14 10:05:53.973407,2025-07-14 10:05:54.007026,180.23549268725895,18.35231341631155,221.65200475029434,73.30039933790158,1.528118619311466,47.14480630392928,0.15445433887230323,0.32709560215742634
18,52.81636428833008,2025-07-14 10:05:54.007026,2025-07-14 10:05:54.039877,169.5355622493674,15.69411606806634,201.0957049978839,75.5185085086311,1.652118300699023,47.20418953355682,0.14076244297340998,0.38274224657356853
19,51.4377326965332,2025-07-14 10:05:54.040883,2025-07-14 10:05:54.071534,185.18655969865793,15.14939140257816,197.9394371651853,76.05677124744618,1.8066365282392316,47.005036547134985,0.11385358077751213,0.37031365894160645
20,52.09587097167969,2025-07-14 10:05:54.073039,2025-07-14 10:05:54.104943,172.19491826766645,18.603811741507517,194.79201353889601,89.30969867952915,1.5009748483486218,41.955872992996845,0.14116121939085383,0.3316058956720686
21,53.14242172241211,2025-07-14 10:05:54.104943,2025-07-14 10:05:54.136685,170.52943151514737,15.893928941377599,208.6771760574515,72.66276306274528,1.6672070328835003,49.68292471303933,0.17120353502471122,0.39701691154883917
22,52.9110221862793,2025-07-14 10:05:54.138191,2025-07-14 10:05:54.173767,170.93134661685485,12.391621284676772,215.68509496828514,71.68610803159076,1.6823199212095499,48.77932217422814,0.178733202759824,0.38312499623491547
23,52.02267074584961,2025-07-14 10:05:54.174270,2025-07-14 10:05:54.207073,176.40715216783585,11.668920973332073,216.56712499535905,71.92047914474897,1.7389810621180852,49.958183531927524,0.17405151883132958,0.3377151677512665
24,51.64954376220703,2025-07-14 10:05:54.207073,2025-07-14 10:05:54.240387,157.94972090002554,12.586542752056001,215.15920256613492,72.03800780552773,1.6768538556191184,48.66557094953035,0.1662875047526924,0.3920878378147791
25,51.91530990600586,2025-07-14 10:05:54.240387,2025-07-14 10:05:54.274283,180.92501868329273,14.508257214050007,231.22455737126248,71.88450708777954,1.769237248008713,46.30850321331685,0.19893441986955668,0.41730380722652877
26,52.794307708740234,2025-07-14 10:05:54.274813,2025-07-14 10:05:54.309016,172.49925273584006,17.32915144769296,209.84537711515398,75.12326691626136,1.6725536206105014,48.66536811344839,0.14401927070368145,0.43858441029035045
27,52.37152862548828,2025-07-14 10:05:54.309553,2025-07-14 10:05:54.343175,164.64035017624144,12.153472669407856,219.5009727779975,76.95137146056669,1.8934546940595878,42.51520807062331,0.18328983493363604,0.3546325959764668
28,52.05278015136719,2025-07-14 10:05:54.343175,2025-07-14 10:05:54.377201,199.3077382590798,10.947596801455626,227.61038877385275,82.87309461432136,1.5636873560980806,38.137419641896145,0.16973603049021618,0.3126233132599819
29,52.078983306884766,2025-07-14 10:05:54.377709,2025-07-14 10:05:54.412154,155.18583195254783,14.526852631188143,208.42403757853782,79.09037105370004,1.6102620415151732,45.702946839606504,0.1891305680765305,0.45618412589918655
30,51.853092193603516,2025-07-14 10:05:54.412154,2025-07-14 10:05:54.445384,153.86255470179705,12.625594840675227,235.2915752297769,71.52999165378665,1.5060176005876862,48.065740703134175,0.1678642336575586,0.3872021594037028
31,52.660160064697266,2025-07-14 10:05:54.446390,2025-07-14 10:05:54.478337,169.96222956664133,15.627814829792516,196.87243031974774,74.2710707387052,1.6677204210993046,47.40999306143472,0.14619706993093526,0.38093397572058096
32,52.101924896240234,2025-07-14 10:05:54.479342,2025-07-14 10:05:54.513835,168.35668843082766,17.55628982686242,213.2902801208651,75.20376059967742,1.7181225797034527,49.93586483080476,0.1390959031497215,0.36619385825809847
